timestamp,power_mW
1746601953.1794415,65402
1746601953.1948886,65402
1746601953.2109752,65402
1746601953.2266412,65402
1746601953.2423599,65402
1746601953.2573211,65402
1746601953.2732685,72540
1746601953.2890055,72540
1746601953.3043873,72540
1746601953.3195117,72540
1746601953.3353736,72540
1746601953.3511326,72540
1746601953.3665998,80193
1746601953.3820913,80193
1746601953.397544,80193
1746601953.4132504,80193
1746601953.4285767,80193
1746601953.44389,80193
1746601953.4603117,87717
1746601953.4748588,87717
1746601953.4905434,87717
1746601953.5061057,87717
1746601953.5215871,87717
1746601953.5374243,87717
1746601953.5527217,87717
1746601953.568174,95143
1746601953.5835073,95143
1746601953.5986958,95143
1746601953.614385,95143
1746601953.6298616,95143
1746601953.645446,95143
1746601953.6612267,102700
1746601953.6770446,102700
1746601953.692862,102700
1746601953.7086809,102700
1746601953.7242494,102700
1746601953.7399592,102700
1746601953.755971,102700
1746601953.7713845,110195
1746601953.7865276,110195
1746601953.8011477,110195
1746601953.816509,110195
1746601953.8320835,110195
1746601953.8472376,110195
1746601953.862775,117817
1746601953.8780744,117817
1746601953.8932188,117817
1746601953.9087875,117817
1746601953.9243238,117817
1746601953.9403827,117817
1746601953.9555333,117817
1746601953.971435,125526
1746601953.9862547,125526
1746601954.0020137,125526
1746601954.0172384,125526
1746601954.0327303,125526
1746601954.0480952,125526
1746601954.063275,130257
1746601954.0788493,130257
1746601954.094434,130257
1746601954.1097531,130257
1746601954.1248703,130257
1746601954.140949,130257
1746601954.1564028,130257
1746601954.171587,132719
1746601954.1864362,132719
1746601954.2022026,132719
1746601954.2178538,132719
1746601954.2336462,132719
1746601954.2493598,132719
1746601954.2649968,133269
1746601954.280759,133269
1746601954.2965996,133269
1746601954.3123775,133269
1746601954.3275452,133269
1746601954.3432748,133269
1746601954.3588543,133883
1746601954.3743143,133883
1746601954.3894641,133883
1746601954.4049265,133883
1746601954.4204898,133883
1746601954.4359112,133883
1746601954.4513905,133883
1746601954.4670258,133959
1746601954.4823844,133959
1746601954.498416,133959
1746601954.5140595,133959
1746601954.5292432,133959
1746601954.54486,133959
1746601954.5609508,134471
1746601954.5762322,134471
1746601954.591732,134471
1746601954.6068795,134471
1746601954.6224177,134471
1746601954.6379914,134471
1746601954.6535559,134471
1746601954.669133,134741
1746601954.685074,134741
1746601954.7008412,134741
1746601954.7166088,134741
1746601954.7318516,134741
1746601954.747632,134741
1746601954.7633963,135009
1746601954.778457,135009
1746601954.794484,135009
1746601954.8101544,135009
1746601954.8260715,135009
1746601954.8411417,135009
1746601954.857028,135009
1746601954.8728251,135333
1746601954.8879595,135333
1746601954.902705,135333
1746601954.9182186,135333
1746601954.9339025,135333
1746601954.949077,135333
1746601954.9646358,135406
1746601954.9805517,135406
1746601954.9962564,135406
1746601955.0117977,135406
1746601955.0275073,135406
1746601955.0433598,135406
1746601955.0584207,135508
1746601955.07371,135508
1746601955.0895479,135508
1746601955.1058211,135508
1746601955.1214018,135508
1746601955.137052,135508
1746601955.1531382,135508
1746601955.1686504,135539
1746601955.1835277,135539
1746601955.1994753,135539
1746601955.2151413,135539
1746601955.2299955,135539
1746601955.245604,135539
1746601955.2608511,135929
1746601955.275987,135929
1746601955.2915037,135929
1746601955.3074803,135929
1746601955.3226373,135929
1746601955.3383186,135929
1746601955.3541858,135929
1746601955.3697567,135944
1746601955.3856587,135944
1746601955.401394,135944
1746601955.4164293,135944
1746601955.4318407,135944
1746601955.4476237,135944
1746601955.4628932,135918
1746601955.4780328,135918
1746601955.4938333,135918
1746601955.5089614,135918
1746601955.5246358,135918
1746601955.540168,135918
1746601955.5560796,135918
1746601955.571863,135910
1746601955.5876818,135910
1746601955.60388,135910
1746601955.619239,135910
1746601955.634687,135910
1746601955.6505723,135910
1746601955.6662006,135760
1746601955.68122,135760
1746601955.6968205,135760
1746601955.7125602,135760
1746601955.7284741,135760
1746601955.7429934,135760
1746601955.7583122,135805
1746601955.7738936,135805
1746601955.788956,135805
1746601955.8038795,135805
1746601955.819082,135805
1746601955.8348808,135805
1746601955.850825,135805
1746601955.8666139,135448
1746601955.8822036,135448
1746601955.898052,135448
1746601955.913044,135448
1746601955.9285717,135448
1746601955.9445498,135448
1746601955.9596074,128644
1746601955.9748201,128644
1746601955.990126,128644
1746601956.0055532,128644
1746601956.021433,128644
1746601956.0368173,128644
1746601956.0528512,128644
1746601956.0679905,121802
1746601956.0837798,121802
1746601956.0988655,121802
1746601956.114834,121802
1746601956.1297314,121802
1746601956.1453755,121802
1746601956.1608517,114802
1746601956.1762495,114802
1746601956.19234,114802
1746601956.207809,114802
1746601956.223261,114802
1746601956.239072,114802
1746601956.2545419,114802
1746601956.2697093,107856
1746601956.2850971,107856
1746601956.3006597,107856
1746601956.3163538,107856
1746601956.3322992,107856
1746601956.3481686,107856
1746601956.363905,100791
1746601956.3790808,100791
1746601956.3944862,100791
1746601956.4106944,100791
1746601956.4256701,100791
1746601956.4417512,100791
1746601956.4578285,93702
1746601956.474046,93702
1746601956.4894288,93702
1746601956.5046222,93702
1746601956.520769,93702
1746601956.536164,93702
1746601956.551282,93702
1746601956.5665262,86697
1746601956.5818694,86697
1746601956.5971923,86697
1746601956.6127877,86697
1746601956.6281176,86697
1746601956.643264,86697
1746601956.659368,79676
1746601956.675047,79676
1746601956.691442,79676
1746601956.7064154,79676
1746601956.7220654,79676
1746601956.7385476,79676
1746601956.7537346,79676
1746601956.768918,72611
1746601956.784057,72611
1746601956.800131,72611
1746601956.815716,72611
1746601956.831007,72611
1746601956.8470037,72611
1746601956.8624403,65456
1746601956.8781025,65456
1746601956.8933074,65456
1746601956.9092197,65456
1746601956.9250896,65456
1746601956.940165,65456
1746601956.9559696,65456
1746601956.9714148,58664
1746601956.9869013,58664
1746601957.0027182,58664
1746601957.0178814,58664
1746601957.033418,58664
1746601957.0489051,58664
1746601957.0646248,58357
1746601957.0799127,58357
1746601957.0958724,58357
1746601957.1114805,58357
1746601957.1271434,58357
1746601957.1424139,58357
1746601957.1578147,58264
1746601957.1736798,58264
1746601957.1890087,58264
1746601957.2048645,58264
1746601957.2207882,58264
1746601957.2362447,58264
1746601957.2520106,58264
1746601957.2680378,58200
1746601957.2835772,58200
1746601957.2987404,58200
1746601957.3150458,58200
1746601957.3300922,58200
1746601957.3460715,58200
1746601957.3616261,58145
1746601957.3778667,58145
1746601957.3927522,58145
1746601957.4078755,58145
1746601957.4246988,58145
1746601957.438785,58145
1746601957.4540603,58145
1746601957.470162,58102
1746601957.4852722,58102
1746601957.5013514,58102
1746601957.5163453,58102
1746601957.5316064,58102
1746601957.547441,58102
1746601957.5625772,58101
1746601957.578343,58101
1746601957.5943723,58101
1746601957.6099753,58101
1746601957.6250036,58101
1746601957.640165,58101
1746601957.6553068,58101
1746601957.6704783,58144
1746601957.6865978,58144
1746601957.7017682,58144
1746601957.7174659,58144
1746601957.7328267,58144
1746601957.7484665,58144
1746601957.7636924,56220
1746601957.7790413,56220
1746601957.794768,56220
1746601957.8100867,56220
1746601957.8256009,56220
1746601957.8413503,56220
1746601957.8565118,54092
1746601957.8716128,54092
1746601957.8869808,54092
1746601957.9031408,54092
1746601957.918326,54092
1746601957.9344084,54092
1746601957.9502988,54092
1746601957.9661753,51978
1746601957.9814901,51978
1746601957.9975102,51978
1746601958.0133877,51978
1746601958.029054,51978
1746601958.0441866,51978
1746601958.0593286,49824
1746601958.074911,49824
1746601958.0904686,49824
1746601958.105572,49824
1746601958.1216135,49824
1746601958.1362865,49824
1746601958.151363,49824
1746601958.1669483,47692
1746601958.1822948,47692
1746601958.197525,47692
1746601958.2129111,47692
1746601958.2281702,47692
1746601958.2435384,47692
1746601958.2589097,45525
1746601958.2746894,45525
1746601958.2902176,45525
1746601958.3056128,45525
1746601958.3216884,45525
1746601958.3369424,45525
1746601958.3527663,45525
1746601958.3689005,43340
1746601958.3839302,43340
1746601958.3993187,43340
1746601958.415306,43340
