x-axis,V2,I2,P2
second,Volt,Ampere,Watt
+4.28500E+00,+5.43861E+00,+967.50E-03,+5.26134E+00
+4.28600E+00,+5.43859E+00,+981.99E-03,+5.34060E+00
+4.28700E+00,+5.44260E+00,+955.24E-03,+5.19914E+00
+4.28800E+00,+5.43992E+00,+977.16E-03,+5.31498E+00
+4.28900E+00,+5.43936E+00,+970.88E-03,+5.28079E+00
+4.29000E+00,+5.43963E+00,+970.37E-03,+5.27864E+00
+4.29100E+00,+5.43815E+00,+1.00002E+00,+5.43844E+00
+4.29200E+00,+5.43721E+00,+953.87E-03,+5.18646E+00
+4.29300E+00,+5.43810E+00,+968.56E-03,+5.26796E+00
+4.29400E+00,+5.43488E+00,+984.20E-03,+5.34910E+00
+4.29500E+00,+5.44029E+00,+982.60E-03,+5.34576E+00
+4.29600E+00,+5.44044E+00,+956.86E-03,+5.20563E+00
+4.29700E+00,+5.44392E+00,+964.86E-03,+5.25186E+00
+4.29800E+00,+5.44062E+00,+976.11E-03,+5.30999E+00
+4.29900E+00,+5.43723E+00,+989.66E-03,+5.38043E+00
+4.30000E+00,+5.43931E+00,+960.19E-03,+5.22199E+00
+4.30100E+00,+5.43644E+00,+966.62E-03,+5.25522E+00
+4.30200E+00,+5.43635E+00,+983.48E-03,+5.34642E+00
+4.30300E+00,+5.43793E+00,+955.91E-03,+5.19856E+00
+4.30400E+00,+5.43975E+00,+955.65E-03,+5.19901E+00
+4.30500E+00,+5.43918E+00,+949.85E-03,+5.16649E+00
+4.30600E+00,+5.43613E+00,+981.48E-03,+5.33631E+00
+4.30700E+00,+5.43803E+00,+952.75E-03,+5.18083E+00
+4.30800E+00,+5.43983E+00,+965.07E-03,+5.24910E+00
+4.30900E+00,+5.43852E+00,+974.49E-03,+5.29994E+00
+4.31000E+00,+5.43690E+00,+973.26E-03,+5.29147E+00
+4.31100E+00,+5.43858E+00,+989.85E-03,+5.38405E+00
+4.31200E+00,+5.44323E+00,+971.70E-03,+5.28887E+00
+4.31300E+00,+5.43740E+00,+944.03E-03,+5.13376E+00
+4.31400E+00,+5.43998E+00,+962.89E-03,+5.23749E+00
+4.31500E+00,+5.44106E+00,+975.43E-03,+5.30817E+00
+4.31600E+00,+5.44068E+00,+958.80E-03,+5.21599E+00
+4.31700E+00,+5.44153E+00,+949.12E-03,+5.16522E+00
+4.31800E+00,+5.43855E+00,+962.34E-03,+5.23371E+00
+4.31900E+00,+5.44175E+00,+956.20E-03,+5.20327E+00
+4.32000E+00,+5.43960E+00,+973.83E-03,+5.29714E+00
+4.32100E+00,+5.43813E+00,+966.62E-03,+5.25612E+00
+4.32200E+00,+5.44121E+00,+946.85E-03,+5.15159E+00
+4.32300E+00,+5.43376E+00,+990.15E-03,+5.38059E+00
+4.32400E+00,+5.43762E+00,+969.54E-03,+5.27172E+00
+4.32500E+00,+5.43972E+00,+972.65E-03,+5.29007E+00
+4.32600E+00,+5.43747E+00,+1.00666E+00,+5.47391E+00
+4.32700E+00,+5.43807E+00,+979.86E-03,+5.32964E+00
+4.32800E+00,+5.44393E+00,+944.79E-03,+5.14342E+00
+4.32900E+00,+5.44146E+00,+945.10E-03,+5.14377E+00
+4.33000E+00,+5.43939E+00,+967.14E-03,+5.26074E+00
+4.33100E+00,+5.43848E+00,+986.23E-03,+5.36293E+00
+4.33200E+00,+5.43719E+00,+954.31E-03,+5.18811E+00
+4.33300E+00,+5.43731E+00,+979.52E-03,+5.32602E+00
+4.33400E+00,+5.43632E+00,+983.28E-03,+5.34518E+00
+4.33500E+00,+5.44109E+00,+972.13E-03,+5.28934E+00
+4.33600E+00,+5.43929E+00,+966.44E-03,+5.25679E+00
+4.33700E+00,+5.43690E+00,+963.68E-03,+5.23926E+00
+4.33800E+00,+5.44115E+00,+963.73E-03,+5.24424E+00
+4.33900E+00,+5.43975E+00,+972.73E-03,+5.29072E+00
+4.34000E+00,+5.43987E+00,+979.60E-03,+5.32920E+00
+4.34100E+00,+5.44238E+00,+965.43E-03,+5.25461E+00
+4.34200E+00,+5.43920E+00,+985.15E-03,+5.35758E+00
+4.34300E+00,+5.43654E+00,+968.03E-03,+5.26272E+00
+4.34400E+00,+5.44161E+00,+962.45E-03,+5.23791E+00
+4.34500E+00,+5.43962E+00,+963.77E-03,+5.24234E+00
+4.34600E+00,+5.43756E+00,+956.33E-03,+5.20012E+00
+4.34700E+00,+5.43971E+00,+980.21E-03,+5.33251E+00
+4.34800E+00,+5.43985E+00,+971.87E-03,+5.28642E+00
+4.34900E+00,+5.43419E+00,+966.97E-03,+5.25445E+00
+4.35000E+00,+5.43677E+00,+991.54E-03,+5.39077E+00
+4.35100E+00,+5.43933E+00,+991.52E-03,+5.39305E+00
+4.35200E+00,+5.44128E+00,+953.58E-03,+5.18797E+00
+4.35300E+00,+5.43946E+00,+951.39E-03,+5.17572E+00
+4.35400E+00,+5.44125E+00,+972.72E-03,+5.29191E+00
+4.35500E+00,+5.43832E+00,+989.89E-03,+5.38257E+00
+4.35600E+00,+5.43999E+00,+962.20E-03,+5.23414E+00
+4.35700E+00,+5.43810E+00,+969.68E-03,+5.27250E+00
+4.35800E+00,+5.43745E+00,+987.65E-03,+5.37027E+00
+4.35900E+00,+5.43927E+00,+957.55E-03,+5.20794E+00
+4.36000E+00,+5.44164E+00,+967.16E-03,+5.26346E+00
+4.36100E+00,+5.43808E+00,+969.91E-03,+5.27499E+00
+4.36200E+00,+5.43707E+00,+963.33E-03,+5.23835E+00
+4.36300E+00,+5.43283E+00,+980.39E-03,+5.32670E+00
+4.36400E+00,+5.43746E+00,+970.21E-03,+5.27528E+00
+4.36500E+00,+5.44125E+00,+945.63E-03,+5.14585E+00
+4.36600E+00,+5.43632E+00,+997.30E-03,+5.42135E+00
+4.36700E+00,+5.43829E+00,+951.01E-03,+5.17241E+00
+4.36800E+00,+5.44181E+00,+961.27E-03,+5.23085E+00
+4.36900E+00,+5.44088E+00,+960.72E-03,+5.22736E+00
+4.37000E+00,+5.43868E+00,+946.26E-03,+5.14580E+00
+4.37100E+00,+5.44248E+00,+979.80E-03,+5.33214E+00
+4.37200E+00,+5.43983E+00,+961.05E-03,+5.22785E+00
+4.37300E+00,+5.43786E+00,+993.30E-03,+5.40171E+00
+4.37400E+00,+5.43012E+00,+971.76E-03,+5.27783E+00
+4.37500E+00,+5.43906E+00,+952.30E-03,+5.17994E+00
+4.37600E+00,+5.43975E+00,+958.73E-03,+5.21539E+00
+4.37700E+00,+5.43675E+00,+970.68E-03,+5.27720E+00
+4.37800E+00,+5.43981E+00,+967.50E-03,+5.26239E+00
+4.37900E+00,+5.43692E+00,+983.73E-03,+5.34922E+00
+4.38000E+00,+5.43724E+00,+976.46E-03,+5.31008E+00
+4.38100E+00,+5.43615E+00,+978.84E-03,+5.32081E+00
+4.38200E+00,+5.44002E+00,+985.41E-03,+5.36105E+00
+4.38300E+00,+5.44076E+00,+967.57E-03,+5.26496E+00
+4.38400E+00,+5.44377E+00,+947.62E-03,+5.15824E+00
+4.38500E+00,+5.43727E+00,+985.68E-03,+5.35873E+00
+4.38600E+00,+5.43876E+00,+966.70E-03,+5.25846E+00
+4.38700E+00,+5.43888E+00,+984.67E-03,+5.35529E+00
+4.38800E+00,+5.43910E+00,+981.10E-03,+5.33594E+00
+4.38900E+00,+5.43911E+00,+955.44E-03,+5.19743E+00
+4.39000E+00,+5.43746E+00,+981.00E-03,+5.33403E+00
+4.39100E+00,+5.43524E+00,+979.12E-03,+5.32161E+00
+4.39200E+00,+5.44191E+00,+961.45E-03,+5.23299E+00
+4.39300E+00,+5.44126E+00,+965.00E-03,+5.25149E+00
+4.39400E+00,+5.43641E+00,+966.63E-03,+5.25551E+00
+4.39500E+00,+5.43740E+00,+970.65E-03,+5.27708E+00
+4.39600E+00,+5.43940E+00,+967.69E-03,+5.26354E+00
+4.39700E+00,+5.43890E+00,+968.40E-03,+5.26776E+00
+4.39800E+00,+5.43293E+00,+986.52E-03,+5.36031E+00
+4.39900E+00,+5.43985E+00,+962.18E-03,+5.23378E+00
+4.40000E+00,+5.43780E+00,+966.53E-03,+5.25632E+00
+4.40100E+00,+5.44317E+00,+962.23E-03,+5.23704E+00
+4.40200E+00,+5.44382E+00,+955.85E-03,+5.20331E+00
+4.40300E+00,+5.43814E+00,+972.13E-03,+5.28685E+00
+4.40400E+00,+5.43689E+00,+963.64E-03,+5.23886E+00
+4.40500E+00,+5.43948E+00,+972.11E-03,+5.28720E+00
+4.40600E+00,+5.44091E+00,+979.17E-03,+5.32686E+00
+4.40700E+00,+5.43898E+00,+966.47E-03,+5.25684E+00
+4.40800E+00,+5.44235E+00,+968.52E-03,+5.27031E+00
+4.40900E+00,+5.43709E+00,+979.85E-03,+5.32823E+00
+4.41000E+00,+5.43948E+00,+972.31E-03,+5.28875E+00
+4.41100E+00,+5.43629E+00,+983.17E-03,+5.34464E+00
+4.41200E+00,+5.43787E+00,+966.64E-03,+5.25684E+00
+4.41300E+00,+5.43903E+00,+966.11E-03,+5.25521E+00
+4.41400E+00,+5.44215E+00,+971.50E-03,+5.28757E+00
+4.41500E+00,+5.44278E+00,+951.23E-03,+5.17822E+00
+4.41600E+00,+5.43800E+00,+949.92E-03,+5.16600E+00
+4.41700E+00,+5.44212E+00,+946.17E-03,+5.14870E+00
+4.41800E+00,+5.43820E+00,+954.53E-03,+5.19147E+00
+4.41900E+00,+5.43474E+00,+958.72E-03,+5.21143E+00
+4.42000E+00,+5.43860E+00,+952.74E-03,+5.18151E+00
+4.42100E+00,+5.44255E+00,+972.57E-03,+5.29346E+00
+4.42200E+00,+5.43431E+00,+1.02123E+00,+5.55063E+00
+4.42300E+00,+5.43694E+00,+998.43E-03,+5.42856E+00
+4.42400E+00,+5.44000E+00,+1.00310E+00,+5.45749E+00
+4.42500E+00,+5.43738E+00,+975.08E-03,+5.30250E+00
+4.42600E+00,+5.43693E+00,+984.79E-03,+5.35370E+00
+4.42700E+00,+5.44209E+00,+961.91E-03,+5.23430E+00
+4.42800E+00,+5.44219E+00,+951.29E-03,+5.17719E+00
+4.42900E+00,+5.44044E+00,+948.03E-03,+5.15777E+00
+4.43000E+00,+5.44148E+00,+976.42E-03,+5.31373E+00
+4.43100E+00,+5.44006E+00,+947.80E-03,+5.15655E+00
+4.43200E+00,+5.43736E+00,+951.86E-03,+5.17518E+00
+4.43300E+00,+5.43880E+00,+971.19E-03,+5.28263E+00
+4.43400E+00,+5.44066E+00,+963.40E-03,+5.24199E+00
+4.43500E+00,+5.43690E+00,+970.65E-03,+5.27785E+00
+4.43600E+00,+5.44231E+00,+951.74E-03,+5.17994E+00
+4.43700E+00,+5.43927E+00,+972.33E-03,+5.28840E+00
+4.43800E+00,+5.43749E+00,+958.52E-03,+5.21270E+00
+4.43900E+00,+5.43448E+00,+970.07E-03,+5.27162E+00
+4.44000E+00,+5.44025E+00,+967.62E-03,+5.26495E+00
+4.44100E+00,+5.44498E+00,+957.29E-03,+5.21235E+00
+4.44200E+00,+5.43424E+00,+981.74E-03,+5.33409E+00
+4.44300E+00,+5.43494E+00,+986.49E-03,+5.36106E+00
+4.44400E+00,+5.44344E+00,+978.08E-03,+5.32460E+00
+4.44500E+00,+5.43962E+00,+976.92E-03,+5.31391E+00
+4.44600E+00,+5.44417E+00,+958.81E-03,+5.21973E+00
+4.44700E+00,+5.44138E+00,+971.33E-03,+5.28611E+00
+4.44800E+00,+5.44071E+00,+969.10E-03,+5.27248E+00
+4.44900E+00,+5.44117E+00,+975.64E-03,+5.30902E+00
+4.45000E+00,+5.43849E+00,+968.01E-03,+5.26437E+00
+4.45100E+00,+5.43155E+00,+971.86E-03,+5.27867E+00
+4.45200E+00,+5.43705E+00,+964.54E-03,+5.24423E+00
+4.45300E+00,+5.43963E+00,+960.09E-03,+5.22313E+00
+4.45400E+00,+5.43776E+00,+983.01E-03,+5.34532E+00
+4.45500E+00,+5.44198E+00,+963.57E-03,+5.24311E+00
+4.45600E+00,+5.43917E+00,+963.51E-03,+5.24069E+00
+4.45700E+00,+5.43784E+00,+974.69E-03,+5.30070E+00
+4.45800E+00,+5.43812E+00,+965.85E-03,+5.25329E+00
+4.45900E+00,+5.44252E+00,+979.49E-03,+5.33063E+00
+4.46000E+00,+5.43940E+00,+965.69E-03,+5.25242E+00
+4.46100E+00,+5.43905E+00,+972.25E-03,+5.28779E+00
+4.46200E+00,+5.43850E+00,+988.00E-03,+5.37254E+00
+4.46300E+00,+5.43834E+00,+967.06E-03,+5.25944E+00
+4.46400E+00,+5.43414E+00,+960.45E-03,+5.21868E+00
+4.46500E+00,+5.43670E+00,+966.02E-03,+5.25239E+00
+4.46600E+00,+5.43750E+00,+965.61E-03,+5.25065E+00
+4.46700E+00,+5.44123E+00,+979.18E-03,+5.32756E+00
+4.46800E+00,+5.43991E+00,+961.98E-03,+5.23303E+00
+4.46900E+00,+5.43927E+00,+962.23E-03,+5.23329E+00
+4.47000E+00,+5.43407E+00,+978.24E-03,+5.31591E+00
+4.47100E+00,+5.43997E+00,+955.27E-03,+5.19624E+00
+4.47200E+00,+5.43975E+00,+979.38E-03,+5.32731E+00
+4.47300E+00,+5.43860E+00,+966.55E-03,+5.25704E+00
+4.47400E+00,+5.43924E+00,+954.03E-03,+5.18966E+00
+4.47500E+00,+5.43998E+00,+985.78E-03,+5.36259E+00
+4.47600E+00,+5.44290E+00,+950.78E-03,+5.17474E+00
+4.47700E+00,+5.43851E+00,+953.86E-03,+5.18775E+00
+4.47800E+00,+5.43860E+00,+958.40E-03,+5.21141E+00
+4.47900E+00,+5.43500E+00,+954.34E-03,+5.18640E+00
+4.48000E+00,+5.44026E+00,+967.13E-03,+5.26172E+00
+4.48100E+00,+5.44041E+00,+961.16E-03,+5.22974E+00
+4.48200E+00,+5.44331E+00,+951.15E-03,+5.17731E+00
+4.48300E+00,+5.43661E+00,+956.04E-03,+5.19764E+00
+4.48400E+00,+5.44227E+00,+950.21E-03,+5.17173E+00
+4.48500E+00,+5.43858E+00,+958.10E-03,+5.20977E+00
+4.48600E+00,+5.43604E+00,+976.51E-03,+5.30930E+00
+4.48700E+00,+5.43417E+00,+965.16E-03,+5.24457E+00
+4.48800E+00,+5.44176E+00,+957.94E-03,+5.21287E+00
+4.48900E+00,+5.44151E+00,+971.40E-03,+5.28599E+00
+4.49000E+00,+5.44286E+00,+968.89E-03,+5.27347E+00
+4.49100E+00,+5.43944E+00,+952.16E-03,+5.17891E+00
+4.49200E+00,+5.44074E+00,+945.59E-03,+5.14467E+00
+4.49300E+00,+5.43884E+00,+973.20E-03,+5.29301E+00
+4.49400E+00,+5.43450E+00,+979.05E-03,+5.32088E+00
+4.49500E+00,+5.43839E+00,+961.05E-03,+5.22656E+00
+4.49600E+00,+5.43643E+00,+953.24E-03,+5.18261E+00
+4.49700E+00,+5.43594E+00,+966.25E-03,+5.25307E+00
+4.49800E+00,+5.43842E+00,+946.07E-03,+5.14543E+00
+4.49900E+00,+5.44022E+00,+965.68E-03,+5.25319E+00
+4.50000E+00,+5.44154E+00,+951.38E-03,+5.17600E+00
+4.50100E+00,+5.44115E+00,+966.38E-03,+5.25810E+00
+4.50200E+00,+5.43692E+00,+960.71E-03,+5.22413E+00
+4.50300E+00,+5.43895E+00,+960.86E-03,+5.22701E+00
